TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,transaction_hour,transaction_day,transaction_month,days_since_last_transaction,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student
18.23,1,0.022399203583872575,56,28,1,8422.2,17,2,3,593,1,0,0,0,1,0,0
333.97,1,0.02538576406172225,52,45,1,5237.36,16,2,3,593,0,1,0,1,0,0,0
446.39,1,0.023892483822797413,63,77,1,7863.6,17,1,12,328,1,0,0,0,0,1,0
1.82,1,0.0233947237431558,80,60,1,5571.39,17,3,4,571,0,0,1,0,0,1,0
1512.99,1,0.0273768043802887,19,50,1,9963.39,17,1,8,454,0,0,1,0,0,0,1
1036.21,1,0.024888003982080638,25,126,1,477.3,18,4,7,472,0,0,1,0,0,0,1
305.18,1,0.024888003982080638,58,216,1,4474.2,17,0,6,518,0,0,1,0,0,1,0
256.05,1,0.022399203583872575,54,35,1,6910.18,16,2,6,516,1,0,0,0,0,1,0
331.65,1,0.015430562468889995,41,61,1,4172.57,17,4,8,437,0,0,1,0,1,0,0
291.27,1,0.025883524141363863,77,121,1,6878.86,17,0,6,504,0,1,0,0,0,1,0
11.81,1,0.0233947237431558,21,131,1,320.25,16,0,2,616,1,0,0,0,0,0,1
364.42,1,0.022399203583872575,51,146,1,8119.73,17,1,10,391,1,0,0,0,1,0,0
107.48,1,0.0273768043802887,20,103,1,1379.39,17,1,2,636,0,1,0,0,0,0,1
90.88,1,0.017421602787456445,18,176,1,3908.47,16,0,2,623,0,1,0,0,0,0,1
210.45,1,0.022399203583872575,27,146,1,1242.49,16,0,12,329,1,0,0,0,0,0,1
322.96,0,0.0273768043802887,76,168,1,2401.59,16,0,11,343,0,1,0,0,0,1,0
388.1,0,0.0273768043802887,73,40,1,3022.12,18,0,8,441,0,0,1,0,0,1,0
17.07,1,0.0273768043802887,27,44,1,2798.15,17,0,5,553,0,1,0,0,1,0,0
289.01,1,0.02538576406172225,66,96,1,4226.26,16,0,8,434,0,0,1,0,0,1,0
211.18,1,0.018914883026381283,73,90,1,4069.17,16,0,10,385,1,0,0,0,0,1,0
91.85,1,0.0273768043802887,21,148,1,802.09,16,0,10,385,0,0,1,0,0,0,1
365.7,1,0.023892483822797413,21,115,2,368.78,16,4,1,647,0,1,0,0,0,0,1
58.77,1,0.0233947237431558,27,191,1,7261.7,16,3,7,480,0,0,1,0,1,0,0
35.16,1,0.024888003982080638,32,130,1,8459.18,17,2,10,376,0,1,0,0,1,0,0
63.98,1,0.018914883026381283,54,258,1,7954.12,16,0,10,371,0,0,1,1,0,0,0
131.56,1,0.02538576406172225,44,42,1,5873.54,16,3,10,382,0,1,0,1,0,0,0
361.38,0,0.023892483822797413,72,71,3,4972.92,17,3,3,613,0,0,1,0,0,1,0
168.34,1,0.0233947237431558,64,240,1,7483.01,18,1,6,496,1,0,0,0,0,1,0
82.01,0,0.019910403185664508,23,156,1,287.46,17,0,12,315,0,1,0,0,0,0,1
154.71,1,0.02538576406172225,34,157,1,1523.72,16,0,7,490,0,0,1,1,0,0,0
228.4,1,0.024888003982080638,67,116,1,9598.43,16,3,1,669,1,0,0,1,0,0,0
66.9,0,0.02538576406172225,79,129,4,5238.71,16,0,4,567,0,0,1,0,0,1,0
43.73,1,0.024888003982080638,34,145,1,9929.43,16,0,4,581,1,0,0,1,0,0,0
43.46,1,0.02538576406172225,25,80,1,578.06,17,4,7,472,1,0,0,0,0,0,1
46.53,1,0.0233947237431558,42,34,1,4468.12,17,3,6,501,1,0,0,0,1,0,0
421.52,1,0.023892483822797413,20,67,1,369.86,17,1,8,447,0,1,0,0,0,0,1
617.36,1,0.02538576406172225,29,61,1,8926.38,17,1,11,349,0,1,0,0,1,0,0
423.11,1,0.021901443504230962,60,47,1,412.78,18,1,7,468,1,0,0,0,1,0,0
468.32,1,0.02538576406172225,69,152,1,4710.04,16,3,6,515,0,0,1,0,0,1,0
994.63,1,0.023892483822797413,61,158,1,13538.14,16,2,6,502,0,0,1,1,0,0,0
331.22,0,0.02687904430064709,61,161,1,12613.25,16,3,5,529,0,1,0,1,0,0,0
644.08,1,0.02140368342458935,24,55,1,1980.62,17,0,5,546,0,0,1,0,0,0,1
315.39,0,0.024390243902439025,23,93,1,929.6,16,4,5,528,0,1,0,0,0,0,1
270.25,1,0.02687904430064709,31,42,1,5414.97,16,0,11,364,1,0,0,0,1,0,0
114.03,1,0.015430562468889995,51,172,1,13388.56,16,4,11,346,1,0,0,1,0,0,0
74.85,1,0.022896963663514187,72,117,1,2409.73,17,0,12,315,1,0,0,0,0,1,0
1095.09,1,0.0233947237431558,29,52,1,8692.47,17,0,4,567,1,0,0,0,1,0,0
736.53,1,0.0273768043802887,55,120,1,9826.26,17,2,5,544,1,0,0,0,1,0,0
25.77,0,0.02538576406172225,45,277,1,11749.77,17,0,7,476,0,0,1,1,0,0,0
18.68,0,0.017421602787456445,59,106,1,7948.37,16,1,2,622,0,1,0,0,0,1,0
224.22,1,0.02538576406172225,53,37,1,8400.87,18,0,1,651,0,1,0,1,0,0,0
178.91,1,0.024888003982080638,18,19,1,8870.89,16,2,3,600,1,0,0,0,0,0,1
504.63,1,0.015430562468889995,60,168,1,3806.16,17,0,11,357,0,0,1,0,1,0,0
256.66,0,0.022896963663514187,54,137,1,1794.5,17,0,7,476,0,0,1,0,0,1,0
52.87,1,0.0233947237431558,24,70,1,960.96,17,4,3,584,0,1,0,0,0,0,1
26.5,1,0.0233947237431558,48,179,1,4854.83,16,2,2,635,0,0,1,0,1,0,0
43.88,0,0.0273768043802887,26,251,1,1644.09,17,0,11,357,0,0,1,0,0,0,1
3.44,1,0.02687904430064709,78,108,1,7561.33,17,3,1,655,1,0,0,0,0,1,0
361.27,1,0.024888003982080638,63,180,1,7945.57,17,4,1,668,1,0,0,1,0,0,0
235.4,1,0.025883524141363863,28,70,1,818.36,17,1,9,405,0,1,0,0,0,0,1
508.73,1,0.024888003982080638,59,89,1,7640.57,16,4,7,479,0,1,0,0,0,1,0
167.44,1,0.0233947237431558,37,82,1,12526.71,16,0,9,406,0,1,0,1,0,0,0
14.0,1,0.0233947237431558,49,173,1,7975.18,16,2,9,425,1,0,0,0,1,0,0
119.61,1,0.02538576406172225,33,53,1,9899.94,16,1,3,601,1,0,0,1,0,0,0
321.93,1,0.022399203583872575,45,12,1,4392.73,18,0,12,336,1,0,0,0,1,0,0
11.3,0,0.017421602787456445,55,41,1,1938.99,16,4,12,339,0,0,1,0,0,1,0
463.11,0,0.022399203583872575,51,159,1,10238.82,16,1,9,405,0,1,0,1,0,0,0
1241.05,1,0.02538576406172225,18,129,1,756.74,16,1,11,349,0,1,0,0,0,0,1
337.73,1,0.0233947237431558,78,107,4,7001.2,17,1,5,531,0,0,1,0,0,1,0
292.95,1,0.0233947237431558,37,56,1,1216.91,16,3,2,627,0,1,0,0,1,0,0
19.39,1,0.022399203583872575,43,45,1,9847.6,16,4,11,353,1,0,0,1,0,0,0
762.74,1,0.0273768043802887,64,244,1,207.1,17,1,5,552,1,0,0,1,0,0,0
165.55,1,0.02140368342458935,28,115,1,761.78,18,0,10,399,0,1,0,0,0,0,1
73.01,0,0.023892483822797413,25,62,1,1997.33,18,2,10,383,0,0,1,0,0,0,1
171.11,1,0.0233947237431558,57,171,1,6324.09,16,0,5,539,1,0,0,0,0,1,0
99.52,1,0.02538576406172225,52,127,1,3798.09,17,0,4,574,1,0,0,0,1,0,0
444.89,0,0.022399203583872575,43,101,1,10328.23,16,0,9,420,0,1,0,1,0,0,0
169.47,1,0.024888003982080638,24,19,1,1806.16,16,2,3,593,0,0,1,0,0,0,1
107.48,1,0.024888003982080638,22,129,1,591.23,18,0,12,336,0,1,0,0,0,0,1
642.68,1,0.02538576406172225,50,94,1,8461.46,16,4,2,626,0,1,0,1,0,0,0
103.15,1,0.02538576406172225,51,179,1,11388.15,17,2,8,432,0,1,0,1,0,0,0
193.16,1,0.02538576406172225,64,109,1,2304.56,16,3,4,578,1,0,0,0,0,1,0
193.82,1,0.02538576406172225,37,176,1,3886.77,17,3,4,564,0,1,0,0,1,0,0
38.15,1,0.0233947237431558,26,108,1,303.68,16,3,9,424,0,0,1,0,0,0,1
1830.0,1,0.0233947237431558,55,238,1,2235.7,16,2,3,614,0,0,1,0,1,0,0
1021.16,1,0.017421602787456445,20,104,1,9427.06,17,0,10,385,1,0,0,0,0,0,1
137.81,1,0.025883524141363863,58,44,1,2631.47,16,3,10,375,0,1,0,0,1,0,0
451.15,1,0.022399203583872575,46,175,1,1356.47,16,0,2,616,1,0,0,0,1,0,0
131.93,0,0.02687904430064709,31,13,1,4547.06,17,0,9,420,0,1,0,0,1,0,0
